Date,Name,Px_LAST,CUR_MKT_CAP,CURR_ENTP_VAL,PX_TO_BOOK_RATIO,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,PE_RATIO,Log_CAP,Return
39479,ZTS UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,ZBH UN Equity,79.18,18585.5574,18228.7574,3.3839,10.6284,4.783,19.5506,9.830140074,0.194448635
39479,XOM UN Equity,85.95,469598.6107,448946.6107,3.7991,6.4222,1.3217,11.8063,13.05963359,-0.080846968
39479,XEL UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,WY UN Equity,28.448,14683.925,21964.925,1.839,17.6567,1.3903,74.7419,9.594508637,-0.028103285
39479,WMT UN Equity,51.18,204966.1288,246084.1288,3.1473,8.7051,0.5493,16.1024,12.23060002,0.091257996
39479,WM UN Equity,33.14,16846.5736,#N/A N/A,#N/A N/A,#N/A N/A,1.2874,15.6321,9.731902568,0.027278363
39479,WELL UN Equity,43.72,3716.1693,6730.4983,1.8022,16.9243,7.3799,37.6897,8.220448659,-0.029953406
39479,WEC UN Equity,22.985,5375.8743,9073.2743,1.7345,4.244,0.9968,16.3594,8.5896765,-0.038284519
39479,WBA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,VZ UN Equity,36.0461,112000.177,172048.177,2.0501,5.5753,1.1177,15.1454,11.62625573,-0.103217075
39479,VRTX UW Equity,20.57,2721.3659,2280.4919,10.0748,#N/A N/A,13.2868,#N/A N/A,7.908889202,-0.111447084
39479,VLO UN Equity,54.9636,33119.7583,37517.7583,1.5938,4.5235,0.3262,7.0829,10.40788531,-0.133621057
39479,V UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,UTX UN Equity,74.12,73268.2217,80424.2217,3.4137,9.7804,1.3046,16.9224,11.20188226,-0.014492754
39479,UPS UN Equity,73.78,77531.128,85945.128,6.3043,36.9975,1.5688,17.6507,11.25843479,0.066801619
39479,UNP UN Equity,31.9925,33607.9807,40411.9807,2.142,8.6056,2.0887,18.4928,10.42251884,0.030022537
39479,UNH UN Equity,50.1,64737.3767,66127.3767,3.1289,7.6492,0.8785,14.3143,11.07809401,-0.115934357
39479,UAL UW Equity,41.14,4783.7099,#N/A N/A,#N/A N/A,#N/A N/A,0.2398,21.4271,8.472971654,0.286026883
39479,TXN UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,TWTR UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,TSN UN Equity,14.41,5124.5535,7775.5535,1.0795,7.2063,0.192,20.8841,8.541798678,-0.046326936
39479,TROW UW Equity,52.11,13788.3063,13003.2063,4.9651,11.4505,5.9623,21.7125,9.531576142,-0.113926203
39479,TMO UN Equity,52.38,22002.984,23558.984,1.5012,12.2601,2.2646,19.766,9.99893336,-0.061290323
39479,TJX UN Equity,16.05,14028.2652,14151.1212,6.4456,7.5584,0.7675,16.5883,9.548829516,0.144793153
39479,TGT UN Equity,57.05,47399.7056,60910.7056,2.9831,8.6866,0.77,16.7794,10.7663713,0.152292466
39479,TEL UN Equity,33.89,16749.15,19129.15,1.457,#N/A N/A,#N/A N/A,#N/A N/A,9.72610279,-0.078324721
39479,T UN Equity,38.28,232158.9664,294303.9664,2.0053,7.0104,1.9718,16.4292,12.35517762,-0.066341463
39479,SYY UN Equity,29.83,18141.4247,20115.7417,5.4199,9.306,0.5018,17.5471,9.80595326,-0.019072673
39479,SYK UN Equity,67.88,27863.6607,25469.6607,5.1871,15.0379,4.6348,28.2833,10.23507863,-0.077717391
39479,SYF UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,SWK UN Equity,51.32,4217.5031,5482.0031,2.3865,7.0138,0.9602,12.7345,8.346998549,0.102233677
39479,STZ UN Equity,21.75,4687.5575,9366.4575,1.3349,13.3902,1.1705,14.8973,8.452666937,-0.073679727
39479,SRE UN Equity,56.98,14895.2046,20177.2046,1.7834,8.2795,1.2913,12.8333,9.608794601,-0.072138088
39479,SPGI UN Equity,44.06,14495.74,15297.091,8.8405,7.4104,2.1805,14.6345,9.581610092,0.031367041
39479,SPG UN Equity,85.742,21298.2478,39794.1528,7.093,16.5097,5.4845,38.5375,9.966380085,0.112016082
39479,SO UN Equity,37.3,28459.9,45863.9,2.2997,9.5312,1.8371,16.9545,10.25625136,-0.021511018
39479,SLB UN Equity,78.28,93612.5025,95971.8165,6.2916,11.396,3.9961,18.7273,11.44691923,-0.221714058
39479,SHW UN Equity,58.21,7312.0259,8574.8819,4.8933,7.4822,0.9245,12.1271,8.897275655,0.029354553
39479,SBUX UW Equity,9.61,14038.2885,14583.1885,6.2065,8.5534,1.4527,21.5955,9.549543768,-0.004660798
39479,RTN UN Equity,66.09,28372.9001,28201.9001,2.2458,10.8511,1.3331,19.9066,10.25318975,0.1015
39479,RSG UN Equity,30.22,5647.1873,7193.1873,4.2973,8.5481,1.8079,18.4268,8.638912877,-0.013707572
39479,ROST UW Equity,7.4725,4049.3625,4041.6375,4.3499,7.4874,0.6867,15.984,8.30631474,0.195121951
39479,ROP UN Equity,57.25,5076.0997,5825.9237,2.8396,10.9606,2.4077,21.2825,8.53229847,-0.061629241
39479,ROK UN Equity,58,8656.7549,9043.5549,4.8252,9.4027,1.7118,14.5,9.066095208,-0.130173965
39479,RHT UN Equity,19.14,3721.0054,2961.3044,3.8833,#N/A N/A,7.5104,51.7297,8.22174918,-0.070873786
39479,REGN UW Equity,21.48,1420.8977,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.259044134,-0.088285229
39479,RCL UN Equity,41.85,9348.3025,14815.7905,1.316,10.702,1.4484,14.8932,9.142950055,0.013317191
39479,QCOM UW Equity,42.2,68038.5624,56705.5624,4.4038,16.37,7.519,21.9792,11.12782992,0.099244595
39479,PYPL UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,PXD UN Equity,42.77,5110.3862,7853.7062,1.6548,8.6828,2.9474,19.986,8.539030258,-0.132630298
39479,PSX UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,PSA UN Equity,81.07,13712.5447,18533.1357,2.6234,16.8867,7.5661,73.3665,9.526066364,0.094948676
39479,PPL UN Equity,45.8494,18390.2051,25629.2051,3.0811,9.9454,2.685,17.7025,9.81957347,-0.028126411
39479,PPG UN Equity,33.595,11001.9329,13628.9329,2.6514,6.3896,0.924,12.7981,9.305826255,-0.020553936
39479,PLD UN Equity,52.4,5189.4342,#N/A N/A,#N/A N/A,#N/A N/A,7.7029,33.8065,8.554379953,-0.071415914
39479,PH UN Equity,68.89,11588.8483,13407.7253,2.4298,7.5664,1.0457,13.9453,9.357798561,-0.033529742
39479,PG UN Equity,66.05,205127.4665,237565.4665,3.0404,12.3745,2.6296,20.076,12.23138685,-0.086571705
39479,PEP UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,PEG UN Equity,47.925,24375.9204,33807.9204,3.3389,9.0323,1.9199,17.8825,10.10135106,-0.002601457
39479,PCG UN Equity,41.6,14728.5506,23964.5506,1.7204,5.9777,1.1106,14.964,9.597543107,-0.038150289
39479,PCAR UW Equity,46.38,17294.1138,14802.7138,3.4083,6.8005,1.1307,14.1116,9.75812148,-0.124575311
39479,PAYX UW Equity,33.87,12317.6015,11850.6475,9.8983,14.272,6.4474,23.1986,9.418784535,-0.031455533
39479,OXY UN Equity,66.3798,57338.8691,57197.8691,2.4016,5.6242,2.9636,13.4372,10.95673402,-0.116783689
39479,ORLY UW Equity,30.62,3523.3546,3576.2686,2.2162,9.3109,1.3917,18.2262,8.167168826,-0.052892051
39479,ORCL UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,OKE UN Equity,20.919,4957.577,10578.561,2.2092,10.0876,0.3328,15.104,8.508672392,0.068648085
39479,NVDA UW Equity,26.9,14944.8726,13135.3946,5.7244,13.5481,3.6167,20.5867,9.61212355,-0.185095426
39479,NUE UN Equity,59.58,17932.5727,18916.7937,3.3559,6.3483,1.061,12.0364,9.794374042,0.027772986
39479,NTAP UW Equity,23.78,8184.8549,7336.0539,4.915,17.3736,2.6847,27.7739,9.010040762,-0.034118603
39479,NSC UN Equity,56.29,21797.7683,27959.7683,2.195,8.2942,2.3241,15.0912,9.989562872,0.139243068
39479,NOC UN Equity,73.01,27188.9282,30630.9282,1.3945,8.1792,0.7834,14.0403,10.21056512,0.023925726
39479,NKE UN Equity,15.6275,31083.4476,28574.1476,4.1483,11.1287,1.8096,22.0883,10.34443072,-0.012168142
39479,NFLX UW Equity,3.627,1670.078,1321.411,3.8346,13.2818,1.4128,30.2262,7.420625611,-0.03639745
39479,NEE UN Equity,65.33,26594.386,40002.386,2.4769,10.8349,1.7026,18.6657,10.18845542,-0.015373022
39479,MU UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,MSFT UW Equity,30.49,292825.3347,271749.3347,8.2612,10.9935,4.9963,16.5707,12.58733158,-0.134298694
39479,MRO UN Equity,29.8006,34867.6406,40883.6406,1.1007,5.2214,0.345,5.4983,10.45931447,-0.200490428
39479,MPC UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,MO UN Equity,23.2665,158900.786,158797.786,2.5943,32.857,3.214,9.5075,11.9760353,0.006802456
39479,MNST UW Equity,6.532,3615.9084,3541.0064,8.651,15.1864,3.9361,25.9536,8.193098389,-0.092399611
39479,MMM UN Equity,81.21,57590.5592,59880.5592,4.9026,9.333,2.3841,16.2745,10.96111393,-0.018135655
39479,MMC UN Equity,27.95,14538.2017,16269.2017,1.8595,12.6314,1.3463,23.8889,9.584535064,0.035952557
39479,MDT UN Equity,47.85,54102.0184,59769.0184,4.9003,12.3261,4.2032,19.2169,10.89862677,-0.033333333
39479,MDLZ UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,MCO UN Equity,35.98,9297.2318,10008.1318,#N/A N/A,8.1772,4.2485,14.4498,9.137471979,0.02624073
39479,MCK UN Equity,61.41,17771.274,18284.274,2.7283,10.6428,0.1811,18.8954,9.785338612,-0.039117509
39479,MAR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,MA UN Equity,21.542,28380.3868,25644.8488,9.3411,20.8638,7.1553,37.319,10.25345358,0.003446991
39479,LYB UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,LUV UN Equity,12.18,8940.5831,8252.5831,1.2894,6.1586,0.9332,19.6452,9.09835609,0.03220339
39479,LRCX UW Equity,40.71,5068.3705,4448.4925,3.2785,5.5958,2.0097,9.0066,8.530774645,-0.045038705
39479,LOW UN Equity,25.55,37369.5067,43519.5067,2.3141,7.0545,0.7846,13.7366,10.52861032,0.151938683
39479,LMT UN Equity,108.12,44264.3273,45690.3273,4.5004,8.3835,1.0737,15.7609,10.69793438,0.026293308
39479,LLY UN Equity,51.66,58598.5964,58774.5964,4.3394,10.0456,3.0224,14.5521,10.97846602,-0.016936251
39479,KR UN Equity,12.99,17476.7463,24800.7463,3.6663,6.7123,0.2597,14.8457,9.768626493,0.012076354
39479,KO UN Equity,29.63,136948.4856,141969.4856,6.3174,16.3597,4.7492,21.9481,11.82736012,-0.029955803
